room, salle
info, infos
news, nouvelles
name, nom
color, couleur
turn, tour
redeem, utiliser
credits, crédits
nugget, nugget
project, projet
back, retour
option, option
emulator, émulateur
gamemode, mode de jeu
infection, infection
casual, décontracté
toxicity, toxicité
racism, racisme
modding, modding
client, client
platforms, plateformes
fly, voler
frozone, frozone
black, noir
white, blanc
hole, trou
cast, lancer
rift, faille
spark, étincelle
magic, magie
stupid, stupide
template, modèle
gorilla, gorille
delete, supprimer
hat, chapeau
face, visage
badge, badge
holdable, tenable
wallpaper, fond d'écran
wlpr, wlpr
soundboard, soundboard
mods, mods
mute, muet
items, objets
voice, voix
group, groupe
queue, file
mic, micro
microphone, microphone
rules, règles
slingshot, fronde
noclip, noclip
fake, faux
pull, tirer
snowball, boule de neige
spam, spam
slingshot, fronde
cupid, cupidon
elf, elfe
ice, glace
cloud, nuage
deadshot, deadshot
walksim, walksim
griddy, griddy
auto, auto
elevator, ascenseur
funny, drôle
run, courir
no, non
yes, oui
tag, tag
freeze, geler
uncap, débloquer
max, max
velocity, vélocité
steam, vapeur
stick, bâton
long, long
arms, bras
longer, plus long
ghost, fantôme
monkey, singe
monke, monke
up, haut
down, bas
and, et
super, super
jump, saut
helicopter, hélicoptère
leaves, feuilles
hunt, chasse
watch, montre
self, soi
paint, peinture
bark, écorce
model, modèle
domain, domaine
void, vide
explosion, explosion
lightning, foudre
draw, dessiner
frost, givre
light, lumière
sword, épée
slash, entaille
team, équipe
players, joueurs
chat, chat
code, code
juggle, jongler
copy, copier
nickname, surnom
playerid, idjoueur
box, boîte
esp, esp
bone, os
beacons, balises
chams, chams
tracers, traceurs
drive, conduire
feedback, retour
spider, araignée
man, homme
punch, coup de poing
size, taille
changer, changeur
bomb, bombe
grappling, grappin
hooks, crochets
grapple, agripper
low, bas
mars, mars
gravity, gravité
zero, zéro
clear, effacer
morph, morph
studio, studio
the, le
startup, démarrage
value, valeur
values, valeurs
banned, banni
this, ce
week, semaine
any, n'importe
key, touche
start, commencer
to, à
pick, choisir
exit, quitter
current, actuel
join, rejoindre
full, plein
failed, échoué
cannot, ne peut pas
type, taper
set, définir
your, votre
turning, tournant
choose, choisir
speed, vitesse
notification, notification
magenta, magenta
blue, bleu
theme, thème
menu, menu
songs, chansons
addons, addons
events, événements
travis, travis
scott, scott
epic, épique
games, jeux
materials, matériaux
default, par défaut
competitive, compétitif
minigames, minijeux
settings, paramètres
may, mai
blank, vide
push, pousser
with, avec
button, bouton
input, entrée
volume, volume
