room, sala
info, info
news, noticias
name, nombre
color, color
turn, turno
Redeem, Canjear
Credits, Créditos
nugget, nugget
project, proyecto
back, atrás
option, opción
emulator, emulador
gamemode, modo de juego
infection, infección
casual, casual
toxicity, toxicidad
racism, racismo
modding, modding
client, cliente
platforms, plataformas
fly, volar
frozone, frozone
black, negro
white, blanco
hole, agujero
Cast, Lanzar
rift, grieta
Spark, Chispa
magic, magia
stupid, estúpido
template, plantilla
gorilla, gorila
delete, borrar
hat, sombrero
face, cara
badge, insignia
Holdable, Sostenible
wallpaper, fondo de pantalla
WLPR, WLPR
soundboard, soundboard
mods, mods
mute, silenciar
items, objetos
voice, voz
group, grupo
queue, cola
mic, micrófono
Microphone, Micrófono
rules, reglas
slingshot, resortera
noclip, noclip
fake, falso
pull, jalar
Snowball, Bola de nieve
Spam, Spam
Slingshot, Resortera
Cupid, Cupido
elf, elfo
ice, hielo
cloud, nube
deadshot, deadshot
walksim, walksim
griddy, griddy
auto, auto
elevator, ascensor
funny, gracioso
run, correr
no, no
yes, sí
tag, tag
Freeze, Congelar
uncap, desbloquear
max, máximo
velocity, velocidad
steam, vapor
stick, palo
long, largo
arms, brazos
longer, más largo
ghost, fantasma
monkey, mono
monke, monke
up, arriba
down, abajo
and, y
super, super
jump, salto
helicopter, helicóptero
leaves, hojas
hunt, cazar
watch, reloj
self, uno mismo
paint, pintura
bark, corteza
model, modelo
Domain, Dominio
void, vacío
explosion, explosión
lightning, rayo
draw, dibujar
frost, escarcha
light, luz
Sword, Espada
Slash, Corte
team, equipo
players, jugadores
chat, chat
code, código
juggle, malabarear
copy, copiar
nickname, apodo
playerid, idjugador
box, caja
ESP, ESP
bone, hueso
Beacons, Balizas
Chams, Chams
tracers, trazadores
drive, conducir
feedback, retroalimentación
spider, araña
man, hombre
punch, puñetazo
size, tamaño
changer, cambiador
bomb, bomba
grappling, gancho
hooks, ganchos
grapple, agarrar
low, bajo
mars, marte
gravity, gravedad
Zero, Cero
clear, limpiar
morph, morph
studio, estudio
the, el
startup, inicio
value, valor
values, valores
banned, baneado
this, este
week, semana
any, cualquier
Key, Tecla
start, iniciar
to, a
pick, elegir
exit, salir
current, actual
join, unirse
full, lleno
Failed, Falló
cannot, no puede
type, escribir
set, establecer
your, tu
turning, girando
choose, elegir
speed, velocidad
notification, notificación
magenta, magenta
blue, azul
theme, tema
menu, menú
songs, canciones
addons, addons
events, eventos
travis, travis
scott, scott
epic, épico
games, juegos
materials, materiales
default, predeterminado
competitive, competitivo
minigames, minijuegos
settings, ajustes
may, mayo
blank, vacío
push, empujar
with, con
button, botón
input, entrada
volume, volumen
